method,payload_fraction,payload_percent,payload_bytes,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,max_difference
sequential,0.1,10,14857,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,True,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,34798,0.8232175841812015,59623,0.4701678451025517,0.004701678451025517,71.40827436572485,0.9999509607279574,1.0
random,0.1,10,14857,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,True,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,59061,1.3972082803415697,59361,0.4681017971778101,0.004681017971778101,71.42740052355491,0.9999585570920808,1.0
adaptive,0.1,10,14857,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,True,ae367968770a9783043ae8121fa1162e36a4465aa16e918a28f04c7b60346d24,34703,0.8209701656371124,59607,0.47004167423691856,0.004700416742369186,71.40943996360326,0.9999976516377439,1.0
sequential,0.25,25,37143,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,True,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,86875,2.0552051159762597,148809,1.1734600214995154,0.011734600214995155,67.43612062619631,0.9998588726511648,1.0
random,0.25,25,37143,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,True,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,146753,3.4717411957969966,148488,1.170928718507752,0.01170928718507752,67.44549903114932,0.9998961036195334,1.0
adaptive,0.25,25,37143,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,True,1b62b08d1dc468fb26dfe525603ec8eb658b7ed4f3be16a6a6147a7df41eaedf,86771,2.0527447840964146,148905,1.174217046693314,0.01174217046693314,67.43331979911343,0.9999926467340557,1.0
sequential,0.5,50,74287,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,True,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,173611,4.1071219037669575,297135,2.3431112599927326,0.023431112599927327,64.43287449798186,0.9997053601544988,1.0
random,0.5,50,74287,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,True,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,289977,6.859996706940406,296840,2.3407849846576227,0.023407849846576227,64.43718837929657,0.9997922278614729,1.0
adaptive,0.5,50,74287,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,True,a9b2d19094c527e4f701d2bf5032271bb2851caa69b691c04a44856853b1457e,173504,4.104590600775194,298089,2.3506341978561047,0.023506341978561048,64.4189531073623,0.9999813540964114,1.0
sequential,0.75,75,111430,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,True,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,260554,6.163935698280039,446541,3.5212790319161824,0.03521279031916182,62.66379920228282,0.999546372022493,1.0
random,0.75,75,111430,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,True,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,429983,10.172123872032461,445309,3.5115638752624356,0.035115638752624356,62.67579788237575,0.9996880827061255,1.0
adaptive,0.75,75,111430,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,True,b0623f08763e2352ee03c8ec13f5742be0f8f60281400491fe14423de9e33a98,260184,6.155182594476744,446866,3.523841877624354,0.03523841877624354,62.66063948419588,0.9999669893957625,1.0
sequential,1.0,100,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,1.0
random,1.0,100,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,566313,13.397287767986917,593676,4.681538426598837,0.04681538426598837,61.4269176839386,0.9995843668282385,1.0
adaptive,1.0,100,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346638,8.200428097747094,595193,4.693501001796673,0.04693501001796673,61.41583445968748,0.9999496894536964,1.0
