method,variant,original_payload_bytes,embedded_payload_bytes,size_ratio,size_change_percent,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
sequential,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,0.0006095422602058198,1.0
sequential,encrypted,148574,198180,1.3338807597560811,33.38807597560811,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,461989,10.929291008054747,793540,6.257601794654392,0.06257601794654392,60.1667243770597,0.999173941459519,0.0008260585404810117,1.0
sequential,compressed,148574,53408,0.3594707014686284,-64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,124374,2.9423203579215116,212910,1.678939937621124,0.01678939937621124,65.8804520089799,0.9997887842653785,0.0002112157346214616,1.0
sequential,compressed_encrypted,148574,71308,0.479949385491405,-52.0050614508595,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,165699,3.9199474246002906,285101,2.248214997678456,0.02248214997678456,64.61242520233957,0.9997145441902072,0.0002854558097927784,1.0
random,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,566313,13.397287767986917,593676,4.681538426598837,0.04681538426598837,61.4269176839386,0.9995843668282385,0.00041563317176152026,1.0
random,encrypted,148574,198180,1.3338807597560811,33.38807597560811,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,744344,17.60897377664729,792545,6.249755543947836,0.06249755543947836,60.172173304023644,0.999445030722208,0.0005549692777919724,1.0
random,compressed,148574,53408,0.3594707014686284,-64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,210062,4.96944457061531,213550,1.6839867722464472,0.01683986772246447,65.86741685083696,0.9998505463504413,0.0001494536495586507,1.0
random,compressed_encrypted,148574,71308,0.479949385491405,-52.0050614508595,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,279086,6.6023479136385665,285445,2.250927671289567,0.02250927671289567,64.60718820760547,0.9997999483119387,0.0002000516880612535,1.0
adaptive,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346638,8.200428097747094,595193,4.693501001796673,0.04693501001796673,61.41583445968748,0.9999496894536964,5.03105463035558e-05,1.0
adaptive,encrypted,148574,198180,1.3338807597560811,33.38807597560811,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,461904,10.92728015988372,792618,6.250331198522287,0.06250331198522287,60.171773301030875,0.9999217834372535,7.821656274653588e-05,1.0
adaptive,compressed,148574,53408,0.3594707014686284,-64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,124696,2.9499379239341086,213694,1.6851223100371446,0.016851223100371446,65.86448932428249,0.9999880868422683,1.1913157731746615e-05,1.0
adaptive,compressed_encrypted,148574,71308,0.479949385491405,-52.0050614508595,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,166310,3.93440187439438,285142,2.2485383105216408,0.02248538310521641,64.6118006940584,0.9999823950387855,1.760496121450128e-05,1.0
