method,transformation,decode_success,original_payload_bytes,embedded_payload_bytes,extracted_bytes,recovered_bytes,payload_sha256,decoded_sha256,error,width,height,mode,file_bytes
sequential,none,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6391960
sequential,resave,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6391960
sequential,optimize,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6304403
sequential,resize,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2064,1152,RGB,3813733
sequential,crop,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2478,1384,RGB,5262839
sequential,jpeg_roundtrip,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2752,1536,RGB,5549383
random,none,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6476719
random,resave,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6476719
random,optimize,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6368989
random,resize,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,IndexError,2064,1152,RGB,3815688
random,crop,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,IndexError,2478,1384,RGB,5359255
random,jpeg_roundtrip,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,IndexError,2752,1536,RGB,5544891
adaptive,none,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6373608
adaptive,resave,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6373608
adaptive,optimize,True,148574,71308,71308,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,2752,1536,RGB,6289856
adaptive,resize,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2064,1152,RGB,3808312
adaptive,crop,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2478,1384,RGB,5282270
adaptive,jpeg_roundtrip,False,148574,71308,0,0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,,InvalidToken,2752,1536,RGB,5542981
