method,lsb_depth,payload_bytes,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
sequential,1,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,0.0006095422602058198,1.0
random,1,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,565856,13.386476501937986,592949,4.675805537891634,0.04675805537891634,61.43223919878697,0.999585329804444,0.0004146701955559662,1.0
adaptive,1,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346963,8.208116634871608,594894,4.6911431837451545,0.04691143183745155,61.41801672119981,0.9999496666036435,5.033339635651668e-05,1.0
sequential,2,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,195169,4.61712031401405,446444,3.520514121043282,0.1097121916384044,57.728254701474704,0.9986803995738666,0.0013196004261334382,3.0
random,2,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,429932,10.170917363129844,445426,3.5124864997173773,0.1095512449279312,57.73463043669874,0.9990310225624901,0.0009689774375098992,3.0
adaptive,2,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,195135,4.61631597474564,445950,3.51661859556686,0.1100444941557655,57.71512042443664,0.9999127019045709,8.729809542906697e-05,3.0
sequential,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,131828,3.118659914001938,346589,2.733089634306363,0.31170946067001776,53.19330377152407,0.9969081631658546,0.0030918368341453784,7.0
random,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,337140,7.975733557412791,346616,2.733302547642119,0.32369119806807173,53.02949470802499,0.9971683417439307,0.002831658256069347,7.0
adaptive,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,131815,3.1183523725169575,346975,2.736133506439761,0.328136355377907,52.97026010806995,0.9997751483576244,0.00022485164237562305,7.0
sequential,4,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,99043,2.34306394591812,280712,2.2136047520994833,0.9799781030462694,48.21863989086047,0.9949003884875435,0.0050996115124565256,15.0
random,4,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,272207,6.4396111540092065,278365,2.1950970632469318,0.9275988990330265,48.457201363657,0.9921453502381343,0.007854649761865673,15.0
adaptive,4,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,99038,2.342945660731589,278614,2.1970605973433464,0.9357351061601663,48.419274375729614,0.9994266473630121,0.0005733526369878783,15.0
