texture_metric,window_size,payload_bytes,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
variance,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346791,8.204047624454942,594250,4.686064806403424,0.04686064806403424,61.42272070446322,0.9999785038079757,2.149619202429509e-05,1.0
variance,5,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346391,8.194584809532461,592420,4.671634013646641,0.04671634013646641,61.43611549040888,0.9999793339883958,2.0666011604220103e-05,1.0
variance,7,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346258,8.191438423570736,591903,4.667557117550872,0.04667557117550872,61.43990719691811,0.9999775531047647,2.2446895235339603e-05,1.0
variance,9,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346397,8.1947267517563,593156,4.677437873465762,0.046774378734657625,61.43072333031551,0.999974466027039,2.5533972961011564e-05,1.0
gradient,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346830,8.204970248909884,594509,4.688107197290859,0.04688107197290859,61.420828272564194,0.9999795951682389,2.0404831761133835e-05,1.0
gradient,5,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346424,8.195365491763566,593450,4.67975626312177,0.0467975626312177,61.42857126669385,0.9999814811836923,1.8518816307655506e-05,1.0
gradient,7,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346011,8.185595135356106,592688,4.673747375645995,0.046737473756459945,61.43415126566086,0.9999819815698728,1.8018430127164642e-05,1.0
gradient,9,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346771,8.203574483708818,593837,4.68280802093427,0.0468280802093427,61.42574007304903,0.9999817561967834,1.8243803216577703e-05,1.0
laplacian,3,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346509,8.197376339934594,593889,4.683218076247578,0.04683218076247578,61.425359794886,0.9999786064581967,2.1393541803305105e-05,1.0
laplacian,5,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346570,8.19881941921027,594253,4.68608846344073,0.0468608846344073,61.42269877968144,0.9999798356877182,2.016431228180071e-05,1.0
laplacian,7,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346512,8.197447311046512,592932,4.6756714813469,0.04675671481346899,61.43236371391442,0.9999800394381754,1.996056182462791e-05,1.0
laplacian,9,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346227,8.190705055414243,593058,4.67666507691376,0.046766650769137594,61.43144092190225,0.9999797833046068,2.021669539320481e-05,1.0
