capacity_target_percent,capacity_actual_percent,method,payload_bytes,max_payload_bytes,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
10,10.000176639211885,sequential,158514,1585148,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,True,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,369410,8.739146151283915,633298,4.9939848039809425,0.04993984803980943,61.14633144349831,0.9993414762030794,0.0006585237969205515,1.0
10,10.000176639211885,random,158514,1585148,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,True,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,602718,14.258522211119187,634050,4.999914834665697,0.049999148346656974,61.1411775396184,0.9995554177848059,0.00044458221519405594,1.0
10,10.000176639211885,adaptive,158514,1585148,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,True,ab3a893a2db255a270175a782e59196f5f204fae14661c6418c9431055656051,369590,8.743404417999031,633258,4.99366937681686,0.0499366937681686,61.14660575871661,0.9999445044399136,5.549556008643819e-05,1.0
25,25.000189256298448,sequential,396287,1585148,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,True,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,924066,21.86066383539244,1584356,12.493722999434755,0.12493722999434755,57.163884879717344,0.9985469286495601,0.0014530713504399273,1.0
25,25.000189256298448,random,396287,1585148,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,True,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,1394768,32.996078609496124,1584427,12.494282882651001,0.12494282882651002,57.16369026299401,0.9988897302582086,0.0011102697417914031,1.0
25,25.000189256298448,adaptive,396287,1585148,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,True,462498525589d2d972d7729e2c4f933ba69dfec5948fceb5172fca279795a9c4,924863,21.879518494125485,1584994,12.498754062701874,0.12498754062701874,57.16213638312848,0.9997545238007414,0.00024547619925863184,1.0
50,50.000126170865634,sequential,792574,1585148,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,True,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,1848935,43.74032427174176,3170719,25.003272556827362,0.2500327255682736,54.150835057815804,0.9980669169070314,0.0019330830929685794,1.0
50,50.000126170865634,random,792574,1585148,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,True,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,2444071,57.81947882600533,3170743,25.00346181312581,0.2500346181312581,54.15080218505692,0.9977791017017639,0.002220898298236129,1.0
50,50.000126170865634,adaptive,792574,1585148,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,True,10e84a8bbb4b83a95539f0e4dda79aada1d0fb4d390ea3d38625e036b04b859f,1849074,43.743612599927324,3170816,25.004037467700257,0.2500403746770026,54.15070219861137,0.9989814067652016,0.0010185932347983595,1.0
75,75.00006308543283,sequential,1188861,1585148,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,True,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,2773838,65.6207890473595,4757316,37.514667363129846,0.37514667363129844,52.38879260888008,0.9970818323191611,0.002918167680838857,1.0
75,75.00006308543283,random,1188861,1585148,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,True,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,3194581,75.57432189468265,4754488,37.4923666626292,0.374923666626292,52.39137505240186,0.9966737808605389,0.003326219139461073,1.0
75,75.00006308543283,adaptive,1188861,1585148,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,True,b8c61fb349310a41f2fd930079b28fc602eca911ebfc9544fda2fc7c2778fe54,2774022,65.62514194222385,4756287,37.50655299933382,0.3750655299933382,52.38973208264963,0.9974236186940546,0.0025763813059453966,1.0
90,90.00001261708657,sequential,1426633,1585148,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,True,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,3328509,78.74266158702761,5707416,45.006851078003876,0.45006851078003873,51.59801732450353,0.9962248811097484,0.0037751188902516164,1.0
90,90.00001261708657,random,1426633,1585148,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,True,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,3523358,83.35221164910368,5706591,45.00034539274467,0.45000345392744673,51.598645137239565,0.996010235362122,0.003989764637878035,1.0
90,90.00001261708657,adaptive,1426633,1585148,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,True,805154f88b5cacc88565d580360f702597b8879169e26c89da9cc310175dacd4,3329216,78.7593871124031,5708244,45.013380420300386,0.45013380420300386,51.597387320050615,0.996340715845756,0.0036592841542439913,1.0
100,100.0,sequential,1585148,1585148,b9f60e4b6d1294533df7377ba63ceba8748bbc34909ee62ffe4ac028d0663ebb,True,b9f60e4b6d1294533df7377ba63ceba8748bbc34909ee62ffe4ac028d0663ebb,3698369,87.49245340509933,6341414,50.00635585735627,0.5000635585735627,51.14055153764874,0.9955670017213087,0.004432998278691258,1.0
100,100.0,random,1585148,1585148,b9f60e4b6d1294533df7377ba63ceba8748bbc34909ee62ffe4ac028d0663ebb,True,b9f60e4b6d1294533df7377ba63ceba8748bbc34909ee62ffe4ac028d0663ebb,3698218,87.48888119246608,6340244,49.997129612806845,0.49997129612806845,51.141352891139384,0.9955679627315384,0.004432037268461642,1.0
