image_type,capacity_percent,method,file_name,r_lsb_one_ratio,r_lsb_zero_ratio,r_lsb_entropy,r_chi_square,r_chi_square_dof,r_chi_square_normalized,r_chi_square_p_value,r_horizontal_lsb_agreement,r_vertical_lsb_agreement,g_lsb_one_ratio,g_lsb_zero_ratio,g_lsb_entropy,g_chi_square,g_chi_square_dof,g_chi_square_normalized,g_chi_square_p_value,g_horizontal_lsb_agreement,g_vertical_lsb_agreement,b_lsb_one_ratio,b_lsb_zero_ratio,b_lsb_entropy,b_chi_square,b_chi_square_dof,b_chi_square_normalized,b_chi_square_p_value,b_horizontal_lsb_agreement,b_vertical_lsb_agreement,pooled_lsb_one_ratio,pooled_lsb_zero_ratio,pooled_lsb_entropy,pooled_chi_square,pooled_chi_square_dof,pooled_chi_square_normalized,pooled_chi_square_p_value,mean_spatial_agreement
cover,0,none,input2.png,0.4970859261446221,0.5029140738553779,0.9999754976295151,5237.888476967166,128,40.92100372630598,0.0,0.5023161558675633,0.5020194966290432,0.49614508577095445,0.5038549142290456,0.999957121629132,8864.420304797675,128,69.25328363123184,0.0,0.5038648351357082,0.5031006173774714,0.49818313953488375,0.5018168604651163,0.9999904753584616,12968.25160020702,128,101.31446562661735,0.0,0.5033359081546105,0.5027469509885615,0.49713805048348675,0.5028619495165132,0.9999763663476069,14971.004302918784,128,116.960971116553,0.0,0.5028973273588263
stego,10,sequential,010_sequential.png,0.49712425054505816,0.5028757494549418,0.9999761378802232,4700.937438838217,128,36.72607374092357,0.0,0.5019789205440446,0.5017467900159079,0.4947677730589874,0.5052322269410126,0.9999210075459024,8121.073096850149,128,63.44588356914179,0.0,0.5035538686689689,0.5029306491932429,0.49751269909762597,0.502487300902374,0.9999821489822962,11249.0302217854,128,87.88304860769844,0.0,0.5031167643584151,0.5023078270585561,0.4964682409005572,0.5035317590994428,0.9999640093001575,15070.227587315369,128,117.73615302590132,0.0,0.5026058033065226
stego,10,random,010_random.png,0.49721769584241765,0.5027823041575823,0.9999776634556301,4193.9530541647655,128,32.76525823566223,0.0,0.5018506527929237,0.5017572058934929,0.4965070384417393,0.5034929615582606,0.9999647957027571,7136.113967500083,128,55.7508903710944,0.0,0.5032703543408458,0.5026124914779183,0.4984989609829215,0.5015010390170784,0.999993498865527,10457.519088875672,128,81.69936788184118,0.0,0.5025743479643766,0.5023487803954246,0.4974078984223595,0.5025921015776404,0.9999806130043543,12155.982415348517,128,94.96861261991029,0.0,0.502402305477497
stego,10,adaptive,010_adaptive.png,0.49693191883175875,0.5030680811682413,0.999972839300538,4755.03393599023,128,37.14870262492367,0.0,0.5022238598842845,0.5020438792515719,0.4963284278100775,0.5036715721899225,0.99996110331579,8210.195720857846,128,64.14215406920192,0.0,0.5036949158639282,0.5030293633058102,0.4983686107073643,0.5016313892926356,0.9999923207196945,12442.399308085629,128,97.20624459441898,0.0,0.5032727209045196,0.502807079009166,0.49720965244973353,0.5027903475502664,0.9999775341223766,14150.734579083213,128,110.5526138990876,0.0,0.5028453030365467
stego,25,sequential,025_sequential.png,0.49776062484859496,0.502239375151405,0.9999855302943588,3692.3793451192405,128,28.846713633744066,0.0,0.5017848623227917,0.5014011722596773,0.49353051000787307,0.5064694899921269,0.9998792306457694,6509.669781987121,128,50.85679517177438,0.0,0.5031960442414879,0.5029832020301492,0.49667949824370156,0.5033205017562985,0.9999681862286431,4981.911908371345,128,38.92118678415113,0.0,0.5026872330516176,0.5019110768123627,0.49599021103338986,0.5040097889666102,0.9999536070250139,9532.835567192717,128,74.4752778686931,0.0,0.5023272651196811
stego,25,random,025_random.png,0.49748904206031974,0.5025109579396803,0.9999818077994019,2933.010891688443,128,22.91414759131596,0.0,0.5015122341875682,0.500756098022877,0.49711407801901647,0.5028859219809836,0.9999759687634671,5082.747558006426,128,39.7089652969252,0.0,0.502185048240034,0.5015922089235664,0.4984965952791909,0.5015034047208091,0.9999934783571983,7397.647070834141,128,57.79411774089173,0.0,0.5016229893675027,0.5015050943110371,0.49769990511950907,0.502300094880491,0.9999847349732727,8664.386432835974,128,67.69051900653105,0.0,0.5015289455087643
stego,25,adaptive,025_adaptive.png,0.49677672866703004,0.50322327133297,0.9999700220953376,4728.218558012336,128,36.939207484471375,0.0,0.5021831549890948,0.5017306927505492,0.4966761862584787,0.5033238137415212,0.9999681227321758,7386.1390449483215,128,57.70421128865876,0.0,0.5031723786047498,0.5025440781001439,0.49877267290455424,0.5012273270954457,0.9999956536408019,11714.645415552732,128,91.52066730900572,0.0,0.5030258883133406,0.5024889212938414,0.49740852927668766,0.5025914707233123,0.9999806224398923,13357.392094187639,128,104.35462573584093,0.0,0.5025241856752867
stego,50,sequential,050_sequential.png,0.4973369273104409,0.5026630726895591,0.999979536843315,3348.8714487288053,128,26.16305819319379,0.0,0.5019850736095965,0.5013988050147716,0.49347349654796513,0.5065265034520349,0.9998770926055631,6504.783906663102,128,50.818624270805486,0.0,0.5029208128862231,0.5028316983561851,0.496913939483406,0.503086060516594,0.999972520035432,4236.705690692979,128,33.0992632085389,0.0,0.5027182350357445,0.5019262271797591,0.49590812111393734,0.5040918788860627,0.9999516880103138,9081.170310484482,128,70.94664305066001,0.0,0.5022968086803801
stego,50,random,050_random.png,0.4982264319131541,0.5017735680868459,0.9999909238602038,1379.9881747189545,128,10.781157614991832,8.52921822750708e-209,0.5005632421543681,0.5003555601848345,0.4978576187015504,0.5021423812984496,0.9999867566029239,2353.7173707648926,128,18.388416959100724,0.0,0.5010476777383982,0.5006308707673661,0.49894797155099324,0.5010520284490068,0.9999968065521865,3360.0958462004114,128,26.250748798440714,0.0,0.5006065502695989,0.5006540697674419,0.4983440073885659,0.5016559926114341,0.9999920873470467,3978.6023092748787,128,31.08283054120999,0.0,0.5006429951470014
stego,50,adaptive,050_adaptive.png,0.49684580721596416,0.5031541927840358,0.9999712932595373,4233.219682765311,128,33.07202877160399,0.0,0.5017950385465891,0.5017361374138323,0.4977821527525436,0.5022178472474563,0.9999858071628043,5854.262475777655,128,45.73642559201293,0.0,0.5025021677723253,0.5019465854859481,0.4999633315921754,0.5000366684078246,0.9999999961203849,9812.031124198404,128,76.65649315780003,0.0,0.5021024551678178,0.5021435402621014,0.49819709718689437,0.5018029028131057,0.9999906211388048,10996.826107386452,128,85.91270396395666,0.0,0.5020376541081023
stego,75,sequential,075_sequential.png,0.49726784876150676,0.5027321512384932,0.999978461464615,2358.5134913566817,128,18.425886651224076,0.0,0.5015086843420574,0.5011507177486554,0.496757566466812,0.503242433533188,0.999969664598802,1983.3464019991666,128,15.494893765618489,0.0,0.5005459662395493,0.5012117926672222,0.49827682140261625,0.5017231785973837,0.999991432265932,3179.4766255723434,128,24.839661137283933,0.0,0.5014923550527081,0.5011857529732596,0.4974340788769784,0.5025659211230216,0.9999810026490954,5484.375038415498,128,42.84667998762108,0.0,0.5011825448372419
stego,75,random,075_random.png,0.4991658528645833,0.5008341471354167,0.9999979923404847,416.1808874227389,128,3.251413182990148,3.431282899137951e-32,0.5002960571155943,0.4998941841527157,0.49878639398619184,0.5012136060138082,0.9999957502791781,726.3951491483585,128,5.674962102721551,2.185246684584585e-84,0.5006174364624985,0.4996856298765245,0.4994480813196463,0.5005519186803538,0.9999991210689443,914.9590493067938,128,7.148117572709326,4.892344393607244e-119,0.5001412838513268,0.5002402753579275,0.4991334427234738,0.5008665572765262,0.9999978332974281,1143.8663152603024,128,8.936455587971112,1.19861695932934e-162,0.5001458111360978
stego,75,adaptive,075_adaptive.png,0.4985562110132025,0.5014437889867975,0.9999939853191537,2759.56021497197,128,21.559064179468514,0.0,0.5012568819671634,0.5008962389212939,0.4995543014171512,0.5004456985828488,0.9999994268251862,4284.038939224207,128,33.469054212689116,0.0,0.502114997955289,0.5014549087190364,0.5013647744821947,0.49863522551780526,0.9999946256386744,6192.572146036061,128,48.37946989090673,0.0,0.5014720026051133,0.5013199757594121,0.49982509563751615,0.5001749043624839,0.9999999117314835,6770.736033513232,128,52.89637526182212,0.0,0.5014191676545513
stego,90,sequential,090_sequential.png,0.49865959226623063,0.5013404077337693,0.9999948158339377,816.1369403838597,128,6.376069846748904,1.0706791459891607e-100,0.5007220385768811,0.5004021949094766,0.49842207561167634,0.5015779243883236,0.9999928158129241,728.6047004185574,128,5.69222422201998,8.760471781773415e-85,0.4998793052526354,0.5004952276342701,0.49905537450036336,0.5009446254996366,0.9999974253148813,1207.5257758572152,128,9.433795123884494,5.422791890399128e-175,0.5007939821125651,0.5003555601848345,0.49871234745942344,0.5012876525405765,0.9999952158763838,1844.099244065348,128,14.407025344260532,1.1801026338328366e-301,0.5004413847784438
stego,90,random,090_random.png,0.49972960006359013,0.5002703999364099,0.999999789031446,165.50638812367424,128,1.293018657216205,0.014315151419989205,0.5001429404458985,0.4998851886220741,0.4994748137718023,0.5005251862281976,0.9999992041499043,256.2961141703715,128,2.002313391956027,1.3255081043358937e-10,0.5003732070913607,0.4995161351412772,0.4995540648467781,0.5004459351532219,0.9999994262165589,273.6108992059794,128,2.1375851500467142,1.3386719101877316e-12,0.5000594007482128,0.5001903264904174,0.4995861595607235,0.5004138404392765,0.9999995058367586,332.11550439546886,128,2.5946523780896005,4.63244334187131e-20,0.5000278664232067
stego,90,adaptive,090_adaptive.png,0.4993640988372093,0.5006359011627908,0.9999988332336647,1037.9859835040406,128,8.109265496125317,2.6194921768208622e-142,0.5008924311613958,0.5006552533898947,0.4989392184471899,0.5010607815528101,0.9999967531907263,2193.798472787953,128,17.139050568655883,0.0,0.5018014282685084,0.5014560923414892,0.5009280655735223,0.4990719344264777,0.9999975147956235,1641.8391170145424,128,12.826868101676112,6.568961408861972e-261,0.5009915901793287,0.5011585296568442,0.4997437942859738,0.5002562057140262,0.9999998105990398,2614.4867596882596,128,20.425677810064528,0.0,0.5011592208329101
stego,100,sequential,100_sequential.png,0.49994133054748063,0.5000586694525193,0.9999999900681853,132.71778319220988,128,1.0368576811891397,0.36961595726006163,0.5004823056767236,0.5000392962654344,0.4996818128482316,0.5003181871517683,0.9999997078742489,112.52705667924982,128,0.8791176303066393,0.8332054974744304,0.499879068596268,0.5002895140519658,0.5000449483708818,0.49995505162911824,0.9999999941704847,136.77673781654653,128,1.0685682641917698,0.28165342531904136,0.5005192240700351,0.5000662828573593,0.499889363922198,0.500110636077802,0.999999964681839,120.0432573567357,128,0.9378379480994976,0.6794242338015106,0.5002126152529643
stego,100,random,100_random.png,0.5001469102016715,0.49985308979832854,0.999999937725758,140.3610180481988,128,1.096570453501553,0.21465729587074292,0.49994320247182844,0.49986861790773424,0.4997974957606589,0.5002025042393411,0.9999998816760156,121.32457827859669,128,0.9478482678015366,0.6490769633116705,0.5003090732158003,0.49968776039693963,0.4997236858042636,0.5002763141957365,0.9999997797017983,143.71275151374545,128,1.1227558712011363,0.16211862493621668,0.4998975277929238,0.49999124119384897,0.499889363922198,0.500110636077802,0.999999964681839,131.31026795268738,128,1.0258614683803702,0.40255938168924305,0.4999495704965125
stego,100,adaptive,100_adaptive.png,0.49994133054748063,0.5000586694525193,0.9999999900681853,108.21386534599579,128,0.8454208230155921,0.8969841861295857,0.4999779909578335,0.5001145746534353,0.4996818128482316,0.5003181871517683,0.9999997078742489,125.19858922396443,128,0.9781139783122221,0.5535452022996267,0.5004008958863444,0.5000632054389819,0.5000449483708818,0.49995505162911824,0.9999999941704847,151.88475201011204,128,1.1865996250790003,0.07353306248259914,0.5000579808100085,0.5001571850617378,0.499889363922198,0.500110636077802,0.999999964681839,128.78565800305168,128,1.0061379531488412,0.4638795868900403,0.5001286388013902
