image_type,capacity_percent,method,file_name,r_groups,r_r_m,r_s_m,r_u_m,r_r_neg_m,r_s_neg_m,r_u_neg_m,r_r_m_ratio,r_s_m_ratio,r_r_neg_m_ratio,r_s_neg_m_ratio,r_rs_gap_m,r_rs_gap_neg_m,g_groups,g_r_m,g_s_m,g_u_m,g_r_neg_m,g_s_neg_m,g_u_neg_m,g_r_m_ratio,g_s_m_ratio,g_r_neg_m_ratio,g_s_neg_m_ratio,g_rs_gap_m,g_rs_gap_neg_m,b_groups,b_r_m,b_s_m,b_u_m,b_r_neg_m,b_s_neg_m,b_u_neg_m,b_r_m_ratio,b_s_m_ratio,b_r_neg_m_ratio,b_s_neg_m_ratio,b_rs_gap_m,b_rs_gap_neg_m,mean_r_m_ratio,mean_s_m_ratio,mean_r_neg_m_ratio,mean_s_neg_m_ratio,mean_rs_gap_m,mean_rs_gap_neg_m
cover,0,none,input2.png,1056768,617432,439336,0,619400,434397,2971,0.5842644743217055,0.4157355256782946,0.5861267562984496,0.4110618413880814,0.16852894864341086,0.1750649149103682,1056768,618860,437908,0,612157,434260,10351,0.5856157642926356,0.4143842357073643,0.5792728394500969,0.4109322008236434,0.17123152858527133,0.1683406386264535,1056768,624437,432331,0,615034,436759,4975,0.5908931761749031,0.4091068238250969,0.5819952913032945,0.4132969582727713,0.1817863523498062,0.16869833303052326,0.5869244715964147,0.41307552840358525,0.5824649623506136,0.4117636668281654,0.17384894319282948,0.1707012955224483
stego,10,sequential,010_sequential.png,1056768,604793,451975,0,629763,423999,3006,0.5723044225411822,0.4276955774588178,0.5959330714026163,0.40122240643168605,0.14460884508236435,0.19471066497093023,1056768,606015,450753,0,622826,423553,10389,0.5734607785247093,0.4265392214752907,0.5893687166908915,0.4008003648861434,0.14692155704941862,0.18856835180474807,1056768,611295,445473,0,625654,426092,5022,0.5784571448037791,0.4215428551962209,0.592044800750969,0.40320297359496127,0.15691428960755813,0.18884182715600775,0.5747407819565568,0.4252592180434432,0.5924488629481589,0.4017419149709302,0.1494815639131137,0.19070694797722867
stego,10,random,010_random.png,1056768,607692,449076,0,627494,426351,2923,0.5750476925872093,0.4249523074127907,0.5937859586967055,0.4034480605014535,0.15009538517441862,0.19033789819525193,1056768,609008,447760,0,620620,426255,9893,0.5762929990310077,0.4237070009689923,0.5872812197189923,0.4033572174781977,0.1525859980620155,0.18392400224079458,1056768,614343,442425,0,623229,428744,4795,0.5813414107921512,0.4186585892078488,0.5897500681322675,0.4057125121124031,0.16268282158430233,0.18403755601986435,0.5775607008034561,0.42243929919654394,0.5902724155159884,0.40417259669735145,0.15512140160691215,0.18609981881863694
stego,10,adaptive,010_adaptive.png,1056768,615348,441420,0,621728,432346,2694,0.5822924236918605,0.41770757630813954,0.5883296996124031,0.40912101804748063,0.16458484738372092,0.17920868156492248,1056768,616731,440037,0,614490,432305,9973,0.5836011309956395,0.41639886900436046,0.5814805141715116,0.40908222050629844,0.16720226199127908,0.17239829366521317,1056768,621801,434967,0,617559,434430,4779,0.5883987781613372,0.41160122183866277,0.5843846520712209,0.4110930686773256,0.1767975563226744,0.17329158339389536,0.5847641109496124,0.41523588905038755,0.5847316219517119,0.40976543574370156,0.1695282218992248,0.17496618620801033
stego,25,sequential,025_sequential.png,1056768,588357,468411,0,643543,410220,3005,0.556751339934593,0.443248660065407,0.6089728303657945,0.38818359375,0.11350267986918605,0.22078923661579458,1056768,590295,466473,0,636367,410032,10369,0.5585852334665697,0.44141476653343026,0.6021823143774225,0.38800569282945735,0.11717046693313954,0.21417662154796513,1056768,594746,462022,0,639642,412275,4851,0.5627971323885659,0.4372028676114341,0.6052813862645349,0.39012820221656974,0.1255942647771318,0.21515318404796513,0.5593779019299095,0.4406220980700904,0.6054788436692506,0.3887724962653423,0.11875580385981914,0.2167063474039083
stego,25,random,025_random.png,1056768,593154,463614,0,639440,414497,2831,0.561290652252907,0.438709347747093,0.6050902374031008,0.39223083969234496,0.12258130450581395,0.21285939771075582,1056768,594359,462409,0,632714,414745,9309,0.5624309214510659,0.4375690785489341,0.5987255480862403,0.3924655175024225,0.12486184290213179,0.20626003058381784,1056768,599081,457687,0,635807,416407,4554,0.5668992626574613,0.43310073734253873,0.6016523967417635,0.39403823734253873,0.13379852531492248,0.2076141593992248,0.5635402787871447,0.4364597212128553,0.6018227274103682,0.39291153151243535,0.1270805575742894,0.20891119589793283
stego,25,adaptive,025_adaptive.png,1056768,609608,447160,0,627426,426759,2583,0.5768607679263565,0.4231392320736434,0.5937216115552325,0.4038341433502907,0.15372153585271317,0.18988746820494187,1056768,610656,446112,0,620378,426922,9468,0.5778524709302325,0.42214752906976744,0.5870522195978682,0.40398838723352715,0.15570494186046513,0.1830638323643411,1056768,615108,441660,0,623942,428422,4404,0.5820653161337209,0.4179346838662791,0.5904247668362403,0.40540780947189925,0.16413063226744187,0.1850169573643411,0.57892618499677,0.42107381500323,0.5903995326631137,0.40441011335190574,0.15785236999354005,0.18598941931120802
stego,50,sequential,050_sequential.png,1056768,577208,479560,0,654438,399446,2884,0.5462012475775194,0.45379875242248063,0.6192825672238372,0.37798835695251937,0.09240249515503876,0.24129421027131784,1056768,578774,477994,0,647485,398955,10328,0.5476831243943798,0.4523168756056202,0.6127030720082365,0.3775237327398256,0.09536624878875968,0.23517933926841086,1056768,582814,473954,0,650929,401275,4564,0.551506101623062,0.448493898376938,0.6159620654675387,0.3797191058018411,0.10301220324612403,0.23624295966569767,0.5484634911983204,0.4515365088016796,0.6159825682332042,0.378410398498062,0.09692698239664083,0.23757216973514214
stego,50,random,050_random.png,1056768,569890,486878,0,659078,395027,2663,0.5392763596172481,0.46072364038275193,0.6236733133478682,0.3738067390382752,0.07855271923449612,0.24986657430959303,1056768,571645,485123,0,652652,395753,8363,0.5409370836361435,0.4590629163638566,0.6175925084786822,0.37449373940164726,0.08187416727228682,0.24309876907703487,1056768,574383,482385,0,656288,396414,4066,0.5435280023619186,0.4564719976380814,0.6210331879844961,0.37511923146802323,0.0870560047238372,0.24591395651647288,0.5412471485384366,0.4587528514615633,0.6207663366036822,0.3744732366359819,0.08249429707687338,0.24629309996770024
stego,50,adaptive,050_adaptive.png,1056768,591302,465466,0,644068,410184,2516,0.5595381389292635,0.4404618610707364,0.6094696281492248,0.3881495276162791,0.11907627785852713,0.22132010053294573,1056768,591893,464875,0,638098,410019,8651,0.5600973912911822,0.4399026087088178,0.6038203276405039,0.38799339117005816,0.12019478258236434,0.21582693647044573,1056768,596690,460078,0,641248,411828,3692,0.5646367036094961,0.43536329639050386,0.6068011143410853,0.38970521438953487,0.12927340721899225,0.21709589995155038,0.561424077943314,0.43857592205668605,0.6066970233769381,0.38861604439195735,0.1228481558866279,0.2180809789849806
stego,75,sequential,075_sequential.png,1056768,554059,502709,0,674452,379872,2444,0.524295777313469,0.475704222686531,0.6382214450096899,0.3594658430232558,0.04859155462693798,0.2787556019864341,1056768,555398,501370,0,669662,379886,7220,0.5255628482315892,0.47443715176841084,0.6336887566618217,0.35947909096414726,0.05112569646317829,0.2742096656976744,1056768,558618,498150,0,672088,381403,3277,0.5286098746366279,0.4713901253633721,0.6359844355620154,0.3609145999878876,0.057219749273255814,0.2750698355741279,0.5261561667272286,0.4738438332727713,0.6359648790778424,0.3599531779917635,0.05231233345445737,0.2760117010860788
stego,75,random,075_random.png,1056768,548073,508695,0,677583,376587,2598,0.5186313363008721,0.4813686636991279,0.6411842523619186,0.3563573083212209,0.037262672601744186,0.2848269440406977,1056768,549028,507740,0,673188,376053,7527,0.519535035125969,0.480464964874031,0.6370253452034884,0.35585199400436046,0.03907007025193798,0.2811733511991279,1056768,551276,505492,0,676368,376715,3685,0.5216622759205426,0.47833772407945735,0.6400345203488372,0.3564784323522287,0.043324551841085274,0.28355608799660853,0.5199428824491279,0.4800571175508721,0.6394147059714147,0.3562292448926034,0.039885764898255814,0.2831854610788114
stego,75,adaptive,075_adaptive.png,1056768,564664,492104,0,667733,386521,2514,0.5343310925387597,0.4656689074612403,0.6318633796632752,0.3657576686652132,0.06866218507751938,0.266105710998062,1056768,561435,495333,0,664908,383478,8382,0.5312755496002907,0.4687244503997093,0.6291901344476745,0.3628781340843023,0.0625510992005814,0.2663120003633721,1056768,567530,489238,0,667007,386335,3426,0.5370431352955426,0.46295686470445735,0.6311763792999031,0.36558166030765504,0.07408627059108527,0.26559471899224807,0.5342165924781975,0.4657834075218023,0.6307432978036176,0.3647391543523901,0.06843318495639535,0.2660041434512274
stego,90,sequential,090_sequential.png,1056768,538408,518360,0,687346,366860,2562,0.5094855256782945,0.4905144743217054,0.6504227985707365,0.34715282824612403,0.018971051356589146,0.3032699703246124,1056768,538861,517907,0,683813,366191,6764,0.5099141911942829,0.49008580880571706,0.647079586058624,0.3465197659278101,0.01982838238856589,0.30055982013081395,1056768,540124,516644,0,687579,365881,3308,0.5111093447189923,0.4888906552810077,0.6506432821584303,0.3462264186652132,0.022218689437984496,0.30441686349321706,0.5101696871971899,0.4898303128028101,0.6493818889292636,0.3466330042797157,0.020339374394379845,0.3027488846495478
stego,90,random,090_random.png,1056768,535758,521010,0,688742,365442,2584,0.5069778797238372,0.49302212027616277,0.6517438075339147,0.34581100109011625,0.013955759447674418,0.30593280644379844,1056768,536279,520489,0,685465,364187,7116,0.5074708923812985,0.49252910761870156,0.6486428430838178,0.34462341781734496,0.014941784762596898,0.30401942526647285,1056768,537784,518984,0,688765,364522,3481,0.5088950460271318,0.49110495397286824,0.6517655720082365,0.34494042211724807,0.017790092054263566,0.30682514989098836,0.5077812727107558,0.4922187272892442,0.6507174075419897,0.3451249470082364,0.015562545421511628,0.3055924605337532
stego,90,adaptive,090_adaptive.png,1056768,543997,512771,0,684711,369485,2572,0.514774292938469,0.485225707061531,0.6479293468386628,0.3496368171632752,0.029548585876937983,0.2982925296753876,1056768,540505,516263,0,682206,366187,8375,0.5114698779675387,0.48853012203246127,0.6455589117005814,0.3465159808018411,0.022939755935077518,0.2990429308987403,1056768,545536,511232,0,685258,368089,3421,0.5162306201550387,0.48376937984496127,0.6484469628149225,0.3483158082000969,0.03246124031007752,0.3001311546148256,0.5141582636870154,0.48584173631298455,0.647311740451389,0.3481562020550711,0.02831652737403101,0.2991555383963178
stego,100,sequential,100_sequential.png,1056768,528761,528007,0,695599,358607,2562,0.5003567481225775,0.4996432518774225,0.6582324597262597,0.33934316709060075,0.0007134962451550387,0.3188892926356589,1056768,528233,528535,0,693130,356874,6764,0.49985711149467055,0.5001428885053295,0.6558960907218992,0.33770326126453487,-0.00028577701065891475,0.3181928294573643,1056768,528339,528429,0,697797,355663,3308,0.4999574173328488,0.5000425826671512,0.6603123864462209,0.3365573143774225,-8.516533430232558e-05,0.32375507206879844,0.500057092316699,0.499942907683301,0.6581469789647932,0.33786791424418605,0.00011418463339793281,0.32027906472060724
stego,100,random,100_random.png,1056768,527849,528919,0,695916,358311,2541,0.49949373940164726,0.5005062605983527,0.6585324309593024,0.33906306776889533,-0.0010125211967054264,0.319469363190407,1056768,528610,528158,0,692982,356905,6881,0.5002138596172481,0.49978614038275193,0.6557560410610465,0.3377325959907946,0.00042771923449612403,0.31802344507025193,1056768,528699,528069,0,697359,356093,3316,0.5002980786700582,0.49970192132994184,0.6598979151526163,0.33696421541908916,0.000596157340116279,0.32293369973352715,0.5000018925629844,0.4999981074370155,0.658062129057655,0.33791995972625966,3.7851259689922188e-06,0.32014216933139533
stego,100,adaptive,100_adaptive.png,1056768,527701,529067,0,696358,357934,2476,0.4993536897407946,0.5006463102592055,0.658950687378876,0.3387063196463178,-0.0012926205184108526,0.32024436773255816,1056768,527881,528887,0,693078,356788,6902,0.49952402040939925,0.5004759795906008,0.6558468840843024,0.33762188105620156,-0.0009519591812015503,0.31822500302810075,1056768,528992,527776,0,697672,355769,3327,0.5005753391472868,0.4994246608527132,0.6601941012596899,0.33665762021560075,0.0011506782945736435,0.32353648104408916,0.49981768309916025,0.5001823169008398,0.6583305575742894,0.3376619403060401,-0.00036463380167958643,0.32066861726824936
