method,true_rate,estimated_rate,absolute_error,rs_gap
sequential,15,16.156452109639677,1.1564521096396767,0.13687078589308785
random,15,15.148372291840086,0.1483722918400865,0.1454970879764212
adaptive,15,14.006915928247256,0.9930840717527438,0.1664092781007752
sequential,35,35.34044274897407,0.3404427489740698,0.10972701671511627
random,35,35.64930103571226,0.6493010357122628,0.10808805717054264
adaptive,35,32.69910069025176,2.300899309748239,0.14707233123385013
sequential,60,57.83925566663367,2.160744333366331,0.08293715681524548
random,60,59.970980589567816,0.029019410432184145,0.06550034318475452
adaptive,60,59.12690131700983,0.8730986829901681,0.10298255309270025
sequential,85,84.56256659168936,0.43743340831063904,0.031929430111434114
random,85,84.72105508870214,0.2789449112978559,0.024122607800387597
adaptive,85,84.68863518422418,0.31136481577581776,0.04252147428133075
