method,model,test_container,true_rate,estimated_rate,absolute_error
sequential,ridge,smooth_light,15.0,10.011275164690375,4.988724835309625
sequential,ridge,smooth_light,35.0,38.12130058399614,3.1213005839961383
sequential,ridge,smooth_light,60.0,63.82831297544474,3.8283129754447387
sequential,ridge,smooth_light,85.0,83.3705255323521,1.6294744676478956
sequential,random_forest,smooth_light,15.0,18.044269841269845,3.044269841269845
sequential,random_forest,smooth_light,35.0,35.7594126984127,0.759412698412703
sequential,random_forest,smooth_light,60.0,61.18460317460316,1.1846031746031613
sequential,random_forest,smooth_light,85.0,81.2654761904762,3.734523809523793
sequential,ridge,smooth_dark,15.0,3.429896272200068,11.570103727799932
sequential,ridge,smooth_dark,35.0,30.745255301172524,4.254744698827476
sequential,ridge,smooth_dark,60.0,59.44212531922273,0.5578746807772674
sequential,ridge,smooth_dark,85.0,84.8899569509467,0.11004304905330287
sequential,random_forest,smooth_dark,15.0,21.526888888888895,6.5268888888888945
sequential,random_forest,smooth_dark,35.0,35.443936507936506,0.4439365079365061
sequential,random_forest,smooth_dark,60.0,58.02217460317459,1.9778253968254091
sequential,random_forest,smooth_dark,85.0,73.13119047619047,11.868809523809531
sequential,ridge,texture_nature,15.0,27.227310326583797,12.227310326583797
sequential,ridge,texture_nature,35.0,48.193579690052594,13.193579690052594
sequential,ridge,texture_nature,60.0,61.1057558290854,1.1057558290854033
sequential,ridge,texture_nature,85.0,70.57995981774094,14.420040182259058
sequential,random_forest,texture_nature,15.0,30.77903174603175,15.779031746031752
sequential,random_forest,texture_nature,35.0,53.91726984126984,18.917269841269842
sequential,random_forest,texture_nature,60.0,68.0481507936508,8.048150793650805
sequential,random_forest,texture_nature,85.0,72.62348412698412,12.376515873015876
sequential,ridge,photo_mixed,15.0,21.34752391139544,6.347523911395442
sequential,ridge,photo_mixed,35.0,37.759046374829126,2.7590463748291256
sequential,ridge,photo_mixed,60.0,51.63837317673965,8.361626823260352
sequential,ridge,photo_mixed,85.0,73.29060241632078,11.70939758367922
sequential,random_forest,photo_mixed,15.0,21.6776507936508,6.677650793650798
sequential,random_forest,photo_mixed,35.0,32.718317460317465,2.281682539682535
sequential,random_forest,photo_mixed,60.0,52.65869047619047,7.341309523809528
sequential,random_forest,photo_mixed,85.0,76.29238095238092,8.707619047619076
sequential,ridge,graphics,15.0,14.138849758889911,0.8611502411100886
sequential,ridge,graphics,35.0,39.126740793782105,4.126740793782105
sequential,ridge,graphics,60.0,66.60070993195879,6.600709931958789
sequential,ridge,graphics,85.0,88.53252332576355,3.532523325763549
sequential,random_forest,graphics,15.0,26.36236507936508,11.36236507936508
sequential,random_forest,graphics,35.0,37.25145238095237,2.2514523809523723
sequential,random_forest,graphics,60.0,59.10364285714283,0.8963571428571697
sequential,random_forest,graphics,85.0,79.10869047619046,5.891309523809539
random,ridge,smooth_light,15.0,9.989314744972432,5.010685255027568
random,ridge,smooth_light,35.0,35.41989433902086,0.41989433902085693
random,ridge,smooth_light,60.0,59.953638132296014,0.04636186770398609
random,ridge,smooth_light,85.0,79.5632847381954,5.4367152618045935
random,random_forest,smooth_light,15.0,19.091603174603172,4.091603174603172
random,random_forest,smooth_light,35.0,33.74822222222222,1.2517777777777823
random,random_forest,smooth_light,60.0,58.77710317460317,1.2228968253968304
random,random_forest,smooth_light,85.0,81.5254761904762,3.4745238095238022
random,ridge,smooth_dark,15.0,5.607911771498543,9.392088228501457
random,ridge,smooth_dark,35.0,35.45752016821609,0.4575201682160923
random,ridge,smooth_dark,60.0,64.36630163195845,4.36630163195845
random,ridge,smooth_dark,85.0,86.76766169616795,1.7676616961679485
random,random_forest,smooth_dark,15.0,20.983555555555558,5.983555555555558
random,random_forest,smooth_dark,35.0,35.35493650793651,0.35493650793650744
random,random_forest,smooth_dark,60.0,54.81400793650791,5.185992063492087
random,random_forest,smooth_dark,85.0,81.67285714285715,3.327142857142846
random,ridge,texture_nature,15.0,24.705665003020165,9.705665003020165
random,ridge,texture_nature,35.0,42.254350511544764,7.254350511544764
random,ridge,texture_nature,60.0,60.08970023488179,0.08970023488178924
random,ridge,texture_nature,85.0,74.11928148991693,10.88071851008307
random,random_forest,texture_nature,15.0,38.00119047619047,23.001190476190473
random,random_forest,texture_nature,35.0,47.806904761904754,12.806904761904754
random,random_forest,texture_nature,60.0,68.91042857142857,8.910428571428568
random,random_forest,texture_nature,85.0,76.16588095238093,8.834119047619069
random,ridge,photo_mixed,15.0,18.88404795937717,3.8840479593771704
random,ridge,photo_mixed,35.0,39.734463121060166,4.734463121060166
random,ridge,photo_mixed,60.0,60.089112959214006,0.08911295921400608
random,ridge,photo_mixed,85.0,76.10429172004788,8.895708279952117
random,random_forest,photo_mixed,15.0,22.110984126984132,7.110984126984132
random,random_forest,photo_mixed,35.0,32.8886507936508,2.111349206349203
random,random_forest,photo_mixed,60.0,61.86999999999998,1.8699999999999832
random,random_forest,photo_mixed,85.0,78.69249999999998,6.307500000000019
random,ridge,graphics,15.0,12.217908238299977,2.7820917617000234
random,ridge,graphics,35.0,39.06306301931902,4.063063019319017
random,ridge,graphics,60.0,66.22606918858196,6.22606918858196
random,ridge,graphics,85.0,87.82258003236191,2.8225800323619126
random,random_forest,graphics,15.0,26.855698412698416,11.855698412698416
random,random_forest,graphics,35.0,38.61978571428571,3.6197857142857117
random,random_forest,graphics,60.0,57.73614285714284,2.2638571428571623
random,random_forest,graphics,85.0,79.85952380952381,5.140476190476193
adaptive,ridge,smooth_light,15.0,23.060866386033545,8.060866386033545
adaptive,ridge,smooth_light,35.0,44.39877805274922,9.398778052749222
adaptive,ridge,smooth_light,60.0,66.7787542876866,6.778754287686596
adaptive,ridge,smooth_light,85.0,85.6954152375657,0.6954152375656975
adaptive,random_forest,smooth_light,15.0,26.898626984126984,11.898626984126984
adaptive,random_forest,smooth_light,35.0,38.385293650793656,3.385293650793656
adaptive,random_forest,smooth_light,60.0,59.04744444444444,0.9525555555555627
adaptive,random_forest,smooth_light,85.0,81.45521825396825,3.5447817460317452
adaptive,ridge,smooth_dark,15.0,10.737165619231838,4.262834380768162
