method,model,test_container,true_rate,estimated_rate,absolute_error
sequential,ridge,smooth_light,15.0,10.623254055369202,4.376745944630798
sequential,ridge,smooth_light,35.0,40.72929563878042,5.729295638780421
sequential,ridge,smooth_light,60.0,65.91697464759466,5.916974647594657
sequential,ridge,smooth_light,85.0,86.26573623073523,1.2657362307352287
sequential,elastic_net,smooth_light,15.0,11.630579145455314,3.3694208545446855
sequential,elastic_net,smooth_light,35.0,41.080390913660594,6.080390913660594
sequential,elastic_net,smooth_light,60.0,65.92815888318643,5.928158883186427
sequential,elastic_net,smooth_light,85.0,86.0360270393879,1.0360270393879034
sequential,ridge,smooth_dark,15.0,0.0,15.0
sequential,ridge,smooth_dark,35.0,0.0,35.0
sequential,ridge,smooth_dark,60.0,0.0,60.0
sequential,ridge,smooth_dark,85.0,58.61814906196595,26.38185093803405
sequential,elastic_net,smooth_dark,15.0,0.0,15.0
sequential,elastic_net,smooth_dark,35.0,0.0,35.0
sequential,elastic_net,smooth_dark,60.0,0.0,60.0
sequential,elastic_net,smooth_dark,85.0,58.26139284564053,26.73860715435947
sequential,ridge,texture_nature,15.0,31.26608224694299,16.26608224694299
sequential,ridge,texture_nature,35.0,53.509880500694585,18.509880500694585
sequential,ridge,texture_nature,60.0,65.18819092391264,5.188190923912643
sequential,ridge,texture_nature,85.0,74.38214138238682,10.61785861761318
sequential,elastic_net,texture_nature,15.0,31.856468777289322,16.856468777289322
sequential,elastic_net,texture_nature,35.0,53.25595138422615,18.25595138422615
sequential,elastic_net,texture_nature,60.0,64.65371544052347,4.65371544052347
sequential,elastic_net,texture_nature,85.0,73.46029078503793,11.539709214962073
sequential,ridge,photo_mixed,15.0,33.780656965877824,18.780656965877824
sequential,ridge,photo_mixed,35.0,47.91421904550671,12.914219045506712
sequential,ridge,photo_mixed,60.0,60.41155555155508,0.4115555515550824
sequential,ridge,photo_mixed,85.0,79.93841007339458,5.061589926605421
sequential,elastic_net,photo_mixed,15.0,33.422218214382184,18.422218214382184
sequential,elastic_net,photo_mixed,35.0,47.43045363632264,12.430453636322639
sequential,elastic_net,photo_mixed,60.0,59.73343472724122,0.2665652727587826
sequential,elastic_net,photo_mixed,85.0,79.0415277781359,5.958472221864099
sequential,ridge,graphics,15.0,100.0,85.0
sequential,ridge,graphics,35.0,90.05977464764362,55.05977464764362
sequential,ridge,graphics,60.0,96.63176583086955,36.631765830869554
sequential,ridge,graphics,85.0,94.98524017837265,9.98524017837265
sequential,elastic_net,graphics,15.0,99.95144212467642,84.95144212467642
sequential,elastic_net,graphics,35.0,87.17530662517797,52.17530662517797
sequential,elastic_net,graphics,60.0,95.19310880894153,35.19310880894153
sequential,elastic_net,graphics,85.0,95.09019179661797,10.090191796617972
random,ridge,smooth_light,15.0,2.5922678124213547,12.407732187578645
random,ridge,smooth_light,35.0,28.872590541576727,6.127409458423273
random,ridge,smooth_light,60.0,56.82059259837503,3.179407401624971
random,ridge,smooth_light,85.0,81.10434936173279,3.895650638267213
random,elastic_net,smooth_light,15.0,3.8478793854354407,11.15212061456456
random,elastic_net,smooth_light,35.0,29.74966781106615,5.25033218893385
random,elastic_net,smooth_light,60.0,57.12251187939839,2.877488120601612
random,elastic_net,smooth_light,85.0,80.81869484082057,4.181305159179431
random,ridge,smooth_dark,15.0,0.0,15.0
random,ridge,smooth_dark,35.0,0.0,35.0
random,ridge,smooth_dark,60.0,0.0,60.0
random,ridge,smooth_dark,85.0,62.929451036024176,22.070548963975824
random,elastic_net,smooth_dark,15.0,0.0,15.0
random,elastic_net,smooth_dark,35.0,0.0,35.0
random,elastic_net,smooth_dark,60.0,0.0,60.0
random,elastic_net,smooth_dark,85.0,63.06336889285168,21.936631107148322
random,ridge,texture_nature,15.0,28.954183836234026,13.954183836234026
random,ridge,texture_nature,35.0,45.383523768584105,10.383523768584105
random,ridge,texture_nature,60.0,63.65810793630356,3.6581079363035585
random,ridge,texture_nature,85.0,79.18950238162411,5.810497618375891
random,elastic_net,texture_nature,15.0,29.159311189805848,14.159311189805848
random,elastic_net,texture_nature,35.0,45.35847108381745,10.358471083817449
random,elastic_net,texture_nature,60.0,63.22749343913312,3.22749343913312
random,elastic_net,texture_nature,85.0,78.32077167856883,6.679228321431168
random,ridge,photo_mixed,15.0,18.295683051357674,3.295683051357674
random,ridge,photo_mixed,35.0,39.66433633161761,4.664336331617612
random,ridge,photo_mixed,60.0,61.2675111589461,1.2675111589460997
random,ridge,photo_mixed,85.0,79.65817134430594,5.341828655694059
random,elastic_net,photo_mixed,15.0,18.99489154921428,3.9948915492142802
random,elastic_net,photo_mixed,35.0,39.91754776321102,4.917547763211019
random,elastic_net,photo_mixed,60.0,61.05308501264434,1.0530850126443383
random,elastic_net,photo_mixed,85.0,78.92730319629973,6.072696803700268
random,ridge,graphics,15.0,100.0,85.0
random,ridge,graphics,35.0,100.0,65.0
random,ridge,graphics,60.0,87.50650334276153,27.506503342761533
random,ridge,graphics,85.0,92.07121410432632,7.071214104326316
